Rank,Official Rank,U18/O50,NEW,Name,Team,Total,R1,R2,R3,R4,R5,R6,R7,R10,R11,R12
72,47,,,Carsten Ruhnke,GER-A,2074,85,85,135,215,175,182,550,135,147,365
73,,,,Neil Zussman,UN-2,2065,140,65,160,150,225,140,580,115,165,325
74,48,,,Kartik Reddy,IND-A,2064,110,65,165,190,210,105,650,150,154,265
75,49,,,Krystian Świderski,POL-A,2062,115,95,110,215,90,115,620,185,187,330
76,50,,,Dennis Keetman,NED-A,2052,170,71,173,215,175,115,630,165,83,255
77,,,NEW,Michael Tang,USA-D,2031,70,55,138,235,180,150,540,30,320,313
78,,,,Yannick Meyapin,FRA-E,1993,35,124,175,130,150,210,610,175,156,228
79,51,,,Hannes Sidorov,EST-A,1975,225,68,105,190,240,140,341,200,86,380
80,,,,Anna Szymańska,POL-B,1954,150,45,137,92,210,35,610,95,380,200
81,,,,Maciej Ignaciuk,POL-C,1953,101,50,140,195,180,185,520,130,197,255
82,,,,Mark Sweep,NED-B,1947,80,35,145,270,195,210,540,45,78,349
83,,,NEW,Julien Dal Zotto,FRA-C,1940,170,80,142,110,150,45,530,165,320,228
84,,O50,,Philippe Meyer,FRA-B,1920,175,60,150,98,255,150,479,135,108,310
85,52,,,Michael Mosshammer,UN-4,1905,100,30,130,130,234,126,540,50,300,265
86,53,,,Sakulbuth Ekvittayaniphon,THA-A,1885,100,50,184,122,180,80,507,175,224,263
86,,,NEW,Matthew Hambacher,USA-D,1885,190,55,145,125,150,185,370,30,340,295
88,54,,,Pavel Jaselský,SVK-A,1880,115,100,170,162,150,35,560,140,123,325
89,55,,,Fabjan Markovinović,CRO-A,1870,100,65,175,85,170,105,470,105,410,185
89,56,,,Siebe Verheijen,NED-A,1870,100,35,160,162,150,80,490,123,310,260
91,57,,,Hatice Esra Yaka,TUR-A,1867,180,75,165,145,25,115,520,140,147,355
92,58,,,Jaipal Reddy M,IND-A,1847,80,85,190,170,165,150,520,125,192,170
93,,,,Yunus Emre Büyükkale,TUR-B,1820,100,45,100,150,155,125,510,50,310,275
94,59,,,Hemant Malani,IND-A,1811,50,60,175,155,200,167,426,165,128,285
95,,,NEW,Takuma Muto,UN-3,1799,80,35,135,145,180,115,500,50,300,259
96,60,O50,,Édouard Lebeau,FRA-A,1762,100,80,200,161,175,105,293,140,205,303
97,61,,,Ivan Georgiev,BUL-A,1745,115,40,95,75,180,70,500,125,310,235
98,,,,Jörg Zentgraf,GER-B,1744,50,60,135,215,250,150,430,75,189,190
